  PID  %CPU COMM
  959   0.0 /usr/sbin/distnoted
  960   0.0 /usr/libexec/nfcd
  963   0.0 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  966   0.0 /usr/libexec/trustd
  972   0.0 /usr/sbin/distnoted
  975   0.0 /usr/libexec/rosetta/oahd
  977   0.0 /System/Library/PrivateFrameworks/NearFieldPrivateServices.framework/Versions/A/XPCServices/NFStorageServer.xpc/Contents/MacOS/NFStorageServer
  978   0.0 /usr/sbin/distnoted
  979   0.0 /usr/libexec/captiveagent
  987   0.0 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  988   0.0 /System/Library/PrivateFrameworks/CoreADI.framework/adid
  989   0.0 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  991   0.0 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  996   0.0 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver
  997   0.0 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver
  998   0.0 /usr/libexec/applekeystored
  999   0.0 /usr/sbin/cfprefsd
 1000   0.0 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/modelcatalogd
 1001   0.0 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
 1003   0.0 /usr/libexec/secd
 1004   0.0 /usr/libexec/countryd
 1005   0.0 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
 1006   0.0 /usr/libexec/UserEventAgent
 1007   0.0 /usr/libexec/gamecontrollerd
 1008   0.0 /System/Library/PrivateFrameworks/DeviceConfiguration.framework/Versions/A/deviceconfigurationd
 1009   0.0 /usr/libexec/seld
 1010   0.0 /System/Library/Frameworks/AccessoryAccess.framework/Resources/accessoryaccessd
 1011   0.0 /System/Library/CoreServices/audioaccessoryd
 1013   0.0 /usr/libexec/ContinuityCaptureAgent
 1014   0.0 /usr/libexec/knowledge-agent
 1015   0.0 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
 1016   0.0 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
 1017   0.0 /usr/sbin/universalaccessd
 1019   0.0 /usr/libexec/pboard
 1021   0.0 /usr/libexec/containermanagerd
 1022   0.0 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
 1023   0.0 /usr/libexec/lsd
 1024   0.0 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
 1025   0.0 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter
 1026   0.0 /System/Library/CoreServices/APFSUserAgent
 1028   0.0 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
 1029   0.0 /usr/libexec/nsurlsessiond
 1030   0.0 /usr/libexec/rapportd
 1031   0.0 /System/Library/PrivateFrameworks/MobileDevice.framework/Resources/MobileDeviceUpdater.app/Contents/MacOS/MobileDeviceUpdater
 1032   0.0 /usr/sbin/usernoted
 1033   0.0 /usr/libexec/routined
 1034   0.0 /usr/libexec/secinitd
 1035   0.0 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
 1036   0.0 /usr/libexec/assessmentagent
 1037   0.0 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
 1038   0.6 /usr/libexec/trustd
 1041   0.0 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
 1042   0.0 /System/Library/PrivateFrameworks/SystemMigrationNetwork.framework/Resources/migrationhelper
 1044   0.0 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
 1048   0.0 /System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd
 1049   0.0 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
 1050   0.0 /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
 1051   0.0 /usr/libexec/pkd
 1052   0.0 /usr/libexec/linkd
 1053   0.0 /System/Library/PrivateFrameworks/AccessibilitySupport.framework/Versions/A/Resources/AccessibilityVisualsAgent.app/Contents/MacOS/AccessibilityVisualsAgent
 1054   0.0 /usr/libexec/neagent
 1055   0.0 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
 1056   0.0 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
 1057   0.0 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
 1059   0.0 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
 1060   0.0 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
 1061   0.0 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
 1062   0.0 /usr/libexec/sharingd
 1063   0.0 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
 1064   0.0 /System/Library/CoreServices/ScopedBookmarkAgent
 1065   0.0 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
 1066   0.0 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
 1067   0.0 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
 1068   0.0 /usr/libexec/dmd
 1069   0.0 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
 1070   0.0 /System/Library/Frameworks/ManagedSettings.framework/Versions/A/ManagedSettingsAgent
 1071   0.0 /usr/libexec/mobilerepaird
 1072   0.0 /System/Library/PrivateFrameworks/EmailDaemon.framework/Versions/A/maild
 1073   0.0 /System/Library/PrivateFrameworks/CloudSubscriptionFeatures.framework/FeatureAccessAgent
 1074   0.0 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
 1075   0.0 /System/Library/PrivateFrameworks/SiriInference.framework/Versions/A/siriinferenced
 1076   0.0 /usr/libexec/diagnosticextensionsd
