  PID  PPID COMM
  881     1 /Library/PrivilegedHelperTools/com.docker.vmnetd
  882     1 /usr/libexec/secinitd
  883     1 /System/Library/CoreServices/appleeventsd
  884     1 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
  886     1 /usr/sbin/cfprefsd
  888     1 /System/Library/Frameworks/ColorSync.framework/Versions/A/XPCServices/com.apple.ColorSyncXPCAgent.xpc/Contents/MacOS/com.apple.ColorSyncXPCAgent
  889     1 /usr/libexec/trustd
  890     1 /usr/libexec/bootinstalld
  901     1 /usr/sbin/distnoted
  911     1 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  912     1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  913     1 /usr/libexec/containermanagerd
  915     1 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
  932     1 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
  957     1 /System/Library/PrivateFrameworks/FindMyDevice.framework/XPCServices/FindMyDeviceSharedConfigurationXPCService.xpc/Contents/MacOS/FindMyDeviceSharedConfigurationXPCService
  959     1 /usr/sbin/distnoted
  960     1 /usr/libexec/nfcd
  963     1 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  966     1 /usr/libexec/trustd
  972     1 /usr/sbin/distnoted
  975     1 /usr/libexec/rosetta/oahd
  977     1 /System/Library/PrivateFrameworks/NearFieldPrivateServices.framework/Versions/A/XPCServices/NFStorageServer.xpc/Contents/MacOS/NFStorageServer
  978     1 /usr/sbin/distnoted
  979     1 /usr/libexec/captiveagent
  987     1 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  988     1 /System/Library/PrivateFrameworks/CoreADI.framework/adid
  989     1 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  991     1 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  996     1 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver
  997     1 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver
  998     1 /usr/libexec/applekeystored
  999     1 /usr/sbin/cfprefsd
 1000     1 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/modelcatalogd
 1001     1 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
 1003     1 /usr/libexec/secd
 1004     1 /usr/libexec/countryd
 1005     1 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
 1006     1 /usr/libexec/UserEventAgent
 1007     1 /usr/libexec/gamecontrollerd
 1008     1 /System/Library/PrivateFrameworks/DeviceConfiguration.framework/Versions/A/deviceconfigurationd
 1009     1 /usr/libexec/seld
 1010     1 /System/Library/Frameworks/AccessoryAccess.framework/Resources/accessoryaccessd
 1011     1 /System/Library/CoreServices/audioaccessoryd
 1013     1 /usr/libexec/ContinuityCaptureAgent
 1014     1 /usr/libexec/knowledge-agent
 1015     1 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
 1016     1 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
 1017     1 /usr/sbin/universalaccessd
 1019     1 /usr/libexec/pboard
 1021     1 /usr/libexec/containermanagerd
 1022     1 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
 1023     1 /usr/libexec/lsd
 1024     1 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
 1025     1 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter
 1026     1 /System/Library/CoreServices/APFSUserAgent
 1028     1 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
 1029     1 /usr/libexec/nsurlsessiond
 1030     1 /usr/libexec/rapportd
 1031     1 /System/Library/PrivateFrameworks/MobileDevice.framework/Resources/MobileDeviceUpdater.app/Contents/MacOS/MobileDeviceUpdater
 1032     1 /usr/sbin/usernoted
 1033     1 /usr/libexec/routined
 1034     1 /usr/libexec/secinitd
 1035     1 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
 1036     1 /usr/libexec/assessmentagent
 1037     1 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
 1038     1 /usr/libexec/trustd
