######## AREA: SIGNALS ########
MATCH rt_sigaction01         docker[P155 F0 B0 C0] carrick[P155 F0 B0 C0]
MATCH rt_sigaction02         docker[P155 F0 B0 C0] carrick[P155 F0 B0 C0]
MATCH rt_sigaction03         docker[P155 F0 B0 C0] carrick[P155 F0 B0 C0]
MATCH rt_sigprocmask01       docker[P1 F0 B0 C0] carrick[P1 F0 B0 C0]
MATCH rt_sigprocmask02       docker[P2 F0 B0 C0] carrick[P2 F0 B0 C0]
DIFF  fcntl02                docker[passed 6 failed 0 broken 0 ] carrick[TIMEOUT/P6 F0 B0 C0]
DIFF  fcntl04                docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  fcntl05                docker[passed 6 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  fcntl08                docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]

######## AREA: TIMERS ########
DIFF  nanosleep01            docker[passed 2 failed 5 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  nanosleep02            docker[passed 2 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  nanosleep04            docker[passed 3 failed 0 broken 0 ] carrick[passed 3 failed 0 broken 1 ]
DIFF  clock_nanosleep01      docker[passed 12 failed 0 broken 0 ] carrick[passed 3 failed 0 broken 1 ]
DIFF  clock_nanosleep02      docker[passed 2 failed 5 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  clock_nanosleep03      docker[passed 0 failed 0 broken 1 ] carrick[]
DIFF  clock_nanosleep04      docker[passed 4 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  clock_gettime01        docker[passed 16 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  clock_gettime02        docker[passed 10 failed 0 broken 0 ] carrick[passed 10 failed 0 broken 1 ]
DIFF  clock_gettime03        docker[passed 0 failed 0 broken 1 ] carrick[]
DIFF  clock_gettime04        docker[passed 6 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  clock_getres01         docker[passed 44 failed 0 broken 0 ] carrick[passed 11 failed 0 broken 1 ]
DIFF  clock_settime01        docker[passed 0 failed 2 broken 0 passed 0 failed 2 broken 1 ] carrick[passed 0 failed 1 broken 1 passed 0 failed 1 broken 2 passed 0 failed 1 broken 3 ]
DIFF  clock_settime02        docker[passed 0 failed 12 broken 0 passed 0 failed 12 broken 1 ] carrick[passed 11 failed 1 broken 1 passed 11 failed 1 broken 2 passed 11 failed 1 broken 3 ]
DIFF  clock_settime03        docker[passed 0 failed 0 broken 1 passed 0 failed 0 broken 2 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  clock_adjtime01        docker[passed 1 failed 9 broken 0 passed 1 failed 9 broken 1 ] carrick[passed 0 failed 10 broken 1 passed 0 failed 10 broken 2 ]
DIFF  clock_adjtime02        docker[passed 4 failed 3 broken 0 passed 4 failed 3 broken 1 ] carrick[passed 0 failed 7 broken 1 passed 0 failed 7 broken 2 ]
DIFF  timer_create01         docker[passed 30 failed 10 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  timer_create02         docker[passed 5 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  timer_create03         docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  timer_delete01         docker[passed 6 failed 2 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  timer_delete02         docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  timer_gettime01        docker[passed 3 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 passed 0 failed 0 broken 2 ]
DIFF  timer_settime01        docker[passed 24 failed 8 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  timer_settime02        docker[passed 36 failed 12 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  timer_settime03        docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 2 ]
DIFF  timer_getoverrun01     docker[passed 2 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 passed 0 failed 0 broken 2 ]
DIFF  timerfd_create01       docker[passed 2 failed 0 broken 0 ] carrick[TIMEOUT/P2 F0 B0 C0]
DIFF  timerfd_gettime01      docker[passed 3 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  timerfd_settime01      docker[passed 4 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  timerfd_settime02      docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  timerfd01              docker[passed 12 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  timerfd02              docker[passed 6 failed 0 broken 0 ] carrick[passed 6 failed 0 broken 1 ]
DIFF  timerfd04              docker[passed 0 failed 0 broken 1 ] carrick[]
DIFF  setitimer01            docker[passed 18 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  setitimer02            docker[passed 3 failed 0 broken 0 ] carrick[passed 3 failed 0 broken 1 ]
DIFF  getitimer01            docker[passed 30 failed 0 broken 0 ] carrick[passed 20 failed 0 broken 1 ]
DIFF  getitimer02            docker[passed 3 failed 0 broken 0 ] carrick[passed 3 failed 0 broken 1 passed 3 failed 0 broken 2 ]
DIFF  alarm02                docker[passed 6 failed 0 broken 0 ] carrick[passed 6 failed 0 broken 1 passed 6 failed 0 broken 2 ]
DIFF  alarm03                docker[passed 2 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  alarm05                docker[passed 3 failed 0 broken 0 ] carrick[passed 1 failed 0 broken 1 ]
DIFF  alarm06                docker[passed 2 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  alarm07                docker[passed 2 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  gettimeofday01         docker[passed 3 failed 0 broken 0 ] carrick[passed 3 failed 0 broken 1 ]
DIFF  gettimeofday02         docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  time01                 docker[passed 2 failed 0 broken 0 ] carrick[TIMEOUT/P2 F0 B0 C0]
DIFF  times01                docker[passed 1 failed 0 broken 0 ] carrick[passed 1 failed 0 broken 1 ]
DIFF  times03                docker[passed 12 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]

######## AREA: SCHED ########
DIFF  sched_getaffinity01    docker[passed 4 failed 0 broken 0 ] carrick[passed 3 failed 0 broken 1 ]
DIFF  sched_setaffinity01    docker[passed 4 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
MATCH sched_yield01          docker[P1 F0 B0 C0] carrick[P1 F0 B0 C0]
DIFF  gettid01               docker[passed 2 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  gettid02               docker[passed 11 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  getcpu01               docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  getcpu02               docker[passed 2 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  futex_wait01           docker[passed 4 failed 0 broken 0 ] carrick[TIMEOUT/P4 F0 B0 C0]
DIFF  futex_wait02           docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  futex_wait03           docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  futex_wait04           docker[passed 1 failed 0 broken 0 ] carrick[passed 1 failed 0 broken 1 ]
DIFF  futex_wait05           docker[passed 3 failed 4 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  futex_wake01           docker[passed 6 failed 0 broken 0 ] carrick[TIMEOUT/P6 F0 B0 C0]
DIFF  futex_wake02           docker[passed 11 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  futex_wake03           docker[passed 11 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  futex_wake04           docker[P0 F0 B1 C0] carrick[P0 F0 B0 C1]
DIFF  futex_cmp_requeue01    docker[passed 7 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  futex_wait_bitset01    docker[passed 2 failed 0 broken 0 ] carrick[passed 0 failed 1 broken 1 ]
DIFF  clone01                docker[passed 2 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  clone02                docker[P2 F0 B0 C0] carrick[]
DIFF  clone03                docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  clone04                docker[passed 1 failed 0 broken 0 ] carrick[passed 1 failed 0 broken 1 passed 1 failed 0 broken 2 ]
DIFF  clone05                docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  clone06                docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  clone07                docker[passed 1 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  clone08                docker[passed 5 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
MATCH clone09                docker[passed 0 failed 0 broken 1 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  clone301               docker[passed 0 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  clone302               docker[passed 1 failed 0 broken 0 ] carrick[passed 3 failed 0 broken 1 ]
DIFF  clone303               docker[passed 0 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
MATCH set_tid_address01      docker[P1 F0 B0 C0] carrick[P1 F0 B0 C0]
DIFF  sched_get_priority_max01 docker[passed 6 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  sched_get_priority_min01 docker[passed 6 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  sched_getparam01       docker[passed 4 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  sched_getscheduler01   docker[passed 2 failed 4 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  sched_rr_get_interval01 docker[passed 4 failed 4 broken 0 ] carrick[TIMEOUT/P0 F0 B0 C1]
DIFF  sched_setparam01       docker[passed 2 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]
DIFF  sched_setscheduler01   docker[passed 8 failed 0 broken 0 ] carrick[passed 0 failed 0 broken 1 ]

ALL DONE
